index,name,mass,px,py,vx,vy,total_fx,total_fy
  8374 Horohata (1992 AK1),  8374 Horohata (1992 AK1),3.42333E+17,-1.19157E+11,-4.66667E+11,16083.59086,4106.704366,0,0
  8376 (1992 OZ9),  8376 (1992 OZ9),6.15311E+17,-56412739851,5.94295E+11,-14843.48631,1408.999213,0,0
  8404 (1995 AN),  8404 (1995 AN),9.46667E+16,1.32512E+11,-2.62912E+11,18959.27356,-9555.784325,0,0
  8409 Valentaugustus (1995 WB43),  8409 Valentaugustus (1995 WB43),3.40067E+17,4.75696E+11,-60339929478,2093.488785,-16504.22523,0,0
  8410 Hiroakiohno (1996 QZ1),  8410 Hiroakiohno (1996 QZ1),2.91911E+17,24252534492,4.8241E+11,-16554.97254,-832.2795038,0,0
  8453 (1981 EQ),  8453 (1981 EQ),3.62133E+17,-4.552E+11,-1.49663E+11,5197.991973,15809.70393,0,0
  8463 Naomimurdoch (1981 EM27),  8463 Naomimurdoch (1981 EM27),1.57511E+17,-2.5506E+11,-4.05137E+11,14090.02442,8870.591343,0,0
  8467 Benoitcarry (1981 ES35),  8467 Benoitcarry (1981 ES35),1.426E+17,-1.63036E+11,4.51346E+11,-15640.71345,5649.782482,0,0
  8482 Wayneolm (1988 RA11),  8482 Wayneolm (1988 RA11),3.13933E+17,1.52963E+11,4.7495E+11,-15523.49207,-4999.527395,0,0
  8519 (1992 DB10),  8519 (1992 DB10),1.49289E+17,-35142135884,-4.84747E+11,16481.38754,1194.831088,0,0
  8550 Hesiodos (1994 PV24),  8550 Hesiodos (1994 PV24),5.49444E+17,-1.28032E+11,-5.76606E+11,14633.33783,3249.247366,0,0
  8564 Anomalocaris (1995 UL3),  8564 Anomalocaris (1995 UL3),3.74889E+17,-4.43017E+11,-2.00426E+11,6809.73267,15052.062,0,0
  8585 Purpurea (2025 P-L),  8585 Purpurea (2025 P-L),3.73844E+17,-2.94253E+11,-3.80991E+11,13140.86805,10149.16098,0,0
  8586 Epops (2563 P-L),  8586 Epops (2563 P-L),3.24644E+17,50175548029,4.78909E+11,-16511.1109,-1729.876471,0,0
  8590 Pygargus (6533 P-L),  8590 Pygargus (6533 P-L),2.54333E+17,-4.8282E+11,-15229957958,522.5828581,16566.93264,0,0
  8618 Sethjacobson (1981 DX),  8618 Sethjacobson (1981 DX),1.75022E+17,-2.61507E+11,4.01062E+11,-13946.25372,9093.457528,0,0
  8660 Sano (1990 TM1),  8660 Sano (1990 TM1),3.168E+17,2.22654E+11,-4.33427E+11,14679.73273,-7541.061709,0,0
  8674 (1991 VA1),  8674 (1991 VA1),1.90556E+17,4.55128E+11,1.61571E+11,-5545.742206,-15621.7983,0,0
  8683 Sjolander (1992 EE13),  8683 Sjolander (1992 EE13),1.92422E+17,1.54797E+11,-4.54194E+11,15741.44384,-5364.957393,0,0
  8696 Kjeriksson (1993 FM16),  8696 Kjeriksson (1993 FM16),2.04711E+17,-4.64814E+11,-1.34366E+11,4599.255847,15910.30419,0,0
  8721 AMOS (1996 AO3),  8721 AMOS (1996 AO3),1.10911E+18,-2.34842E+11,-5.32437E+11,13817.30668,6094.405725,0,0
  8755 Querquedula (4586 P-L),  8755 Querquedula (4586 P-L),2.56889E+17,-4.74713E+11,81053668818,-2793.989642,16363.768,0,0
  8756 Mollissima (6588 P-L),  8756 Mollissima (6588 P-L),2.35511E+17,-1.7249E+11,-4.47512E+11,15521.70531,5982.738035,0,0
  8758 Perdix (6683 P-L),  8758 Perdix (6683 P-L),1.77933E+17,2.07748E+11,4.3354E+11,-14983.57547,-7179.962819,0,0
  8825 (1988 MF),  8825 (1988 MF),4.82222E+16,2.60743E+11,1.00037E+11,-7808.573795,-20352.82723,0,0
  8829 Buczkowski (1988 RV10),  8829 Buczkowski (1988 RV10),3.18489E+17,1.59288E+11,4.53328E+11,-15679.53393,-5509.411176,0,0
  8872 Ebenum (1992 GA4),  8872 Ebenum (1992 GA4),2.70311E+17,4.76569E+11,-66280373125,2287.785973,-16449.62242,0,0
  8913 (1995 YB2),  8913 (1995 YB2),4.41178E+17,5.92677E+11,14448773874,-364.6443099,-14957.40916,0,0
  8915 Sawaishujiro (1995 YK3),  8915 Sawaishujiro (1995 YK3),6.69667E+17,-5.39667E+11,2.34904E+11,-5993.022673,13768.36192,0,0
  8917 Tianjindaxue (1996 EU2),  8917 Tianjindaxue (1996 EU2),8.24933E+17,-2.56988E+11,-4.39954E+11,13935.88791,8140.302166,0,0
  8926 Abemasanao (1996 YK),  8926 Abemasanao (1996 YK),2.20978E+17,3.00523E+11,3.82483E+11,-12988.22825,-10205.06696,0,0
  8941 Junsaito (1997 BL2),  8941 Junsaito (1997 BL2),4.06956E+17,-2.82742E+11,3.95123E+11,-13440.55478,9617.788983,0,0
  8961 Schoenobaenus (2702 P-L),  8961 Schoenobaenus (2702 P-L),2.10667E+17,3.45857E+11,3.33533E+11,-11536.7717,-11963.05324,0,0
  8963 Collurio (4651 P-L),  8963 Collurio (4651 P-L),2.53778E+17,1.93883E+11,-4.40814E+11,15195.96396,-6683.628067,0,0
  8978 Barbatus (3109 T-3),  8978 Barbatus (3109 T-3),2.026E+17,3.44937E+11,3.37729E+11,-11599.82726,-11847.37072,0,0
  8988 (1979 MA4),  8988 (1979 MA4),3.47622E+17,-27045708784,5.07913E+11,-16130.27768,858.9159475,0,0
  8998 Matthewizawa (1981 EG23),  8998 Matthewizawa (1981 EG23),2.044E+17,-4.416E+11,1.85188E+11,-6438.146227,15352.44946,0,0
  9025 Polanskey (1988 SM2),  9025 Polanskey (1988 SM2),2.02044E+17,-2.40761E+11,-4.19409E+11,14366.99447,8247.350857,0,0
  9072 (1993 RX3),  9072 (1993 RX3),5.43422E+17,-3.11646E+11,3.6436E+11,-12643.33374,10814.15335,0,0
  9084 Achristou (1995 CS1),  9084 Achristou (1995 CS1),4.25778E+16,2.56866E+11,-1.06927E+11,8393.284273,-20162.89122,0,0
  9165 Raup (1987 SJ3),  9165 Raup (1987 SJ3),1.07533E+17,2.86398E+11,79036023832,-5622.420004,-20373.58363,0,0
  9195 (1992 OF9),  9195 (1992 OF9),2.94333E+17,-4.55361E+11,-1.49146E+11,5180.16337,15815.71006,0,0
  9330 (1990 EF7),  9330 (1990 EF7),2.67333E+17,2.5105E+11,-4.07914E+11,14176.01601,-8724.612446,0,0
  9340 Williamholden (1991 LW1),  9340 Williamholden (1991 LW1),3.40689E+17,-4.42261E+11,1.84139E+11,-6397.568717,15365.52691,0,0
  9387 Tweedledee (1994 CA),  9387 Tweedledee (1994 CA),1.01333E+17,2.5835E+11,-1.31822E+11,9722.187284,-19054.01217,0,0
  9402 (1994 UN1),  9402 (1994 UN1),4.54133E+17,4.65489E+11,-1.85337E+11,6020.415124,-15120.78149,0,0
  9410 (1995 BJ1),  9410 (1995 BJ1),3.77711E+17,-4.83716E+11,21862565710,-747.497655,16538.6103,0,0
  9411 Hitomiyamoto (1995 CF),  9411 Hitomiyamoto (1995 CF),2.35444E+17,-4.3973E+11,1.92664E+11,-6672.383268,15228.86576,0,0
  9516 Inasan (1976 YL3),  9516 Inasan (1976 YL3),2.47244E+17,2.17693E+11,4.28754E+11,-14813.15435,-7521.159586,0,0
  9522 Schlichting (1981 DS),  9522 Schlichting (1981 DS),3.74022E+17,-3.44852E+11,-4.07562E+11,12036.08966,10184.11731,0,0
  9552 (1985 UY),  9552 (1985 UY),3.76578E+17,3.97146E+11,-3.25775E+11,10194.21074,-12427.56198,0,0
  9554 Dumont (1985 XA),  9554 Dumont (1985 XA),6.44222E+16,2.39266E+11,1.54833E+11,-11723.81581,-18117.03297,0,0
  9661 Hohmann (1996 FU13),  9661 Hohmann (1996 FU13),6.14756E+17,-2.73482E+11,5.23144E+11,-13287.82802,6946.429668,0,0
  9669 Symmetria (1997 NC3),  9669 Symmetria (1997 NC3),2.52689E+17,-2.57954E+11,4.09315E+11,-14011.8296,8830.359184,0,0
  9739 Powell (1987 SH7),  9739 Powell (1987 SH7),5.98E+16,-1.73028E+11,2.32914E+11,-17167.94447,12753.78395,0,0
  9829 Murillo (1973 SJ1),  9829 Murillo (1973 SJ1),5.76467E+17,-3.66122E+11,-4.64022E+11,11763.61777,9281.717326,0,0
  9858 (1991 OL1),  9858 (1991 OL1),2.57378E+17,42102048935,-4.8041E+11,16525.73645,-1448.278797,0,0
  9873 (1992 GH),  9873 (1992 GH),1.19733E+17,2.58706E+11,1.03131E+11,-8083.517774,-20277.62571,0,0
 10099 Glazebrook (1991 VB9), 10099 Glazebrook (1991 VB9),2.31711E+17,-2.71626E+11,4.04258E+11,-13701.6897,9206.355959,0,0
 10121 Arzamas (1993 BS4), 10121 Arzamas (1993 BS4),2.39044E+17,4.03077E+11,2.59528E+11,-9007.285902,-13989.36118,0,0
 10122 Froding (1993 BC5), 10122 Froding (1993 BC5),2.666E+17,4.56479E+11,-1.48417E+11,5141.383206,-15813.09646,0,0
 10148 Shirase (1994 GR9), 10148 Shirase (1994 GR9),3.44733E+17,-4.32952E+11,-2.08454E+11,7209.417568,14973.7361,0,0
 10264 Marov (1978 PH3), 10264 Marov (1978 PH3),2.94178E+17,4.41947E+11,1.87655E+11,-6497.872175,-15303.16219,0,0
 10265 Gunnarsson (1978 RY6), 10265 Gunnarsson (1978 RY6),1.544E+17,4.25746E+11,-2.27355E+11,7811.170253,-14627.25336,0,0
 10289 Geoffperry (1984 QS), 10289 Geoffperry (1984 QS),2.37222E+17,3.87574E+11,-2.81882E+11,9788.056266,-13458.10586,0,0
 10296 Rominadisisto (1988 RQ12), 10296 Rominadisisto (1988 RQ12),3.13533E+17,3.33504E+11,-4.87529E+11,12371.56354,-8463.0236,0,0
 10314 (1990 RF), 10314 (1990 RF),4.84067E+17,-3.70066E+11,-3.07569E+11,10615.0383,12771.96785,0,0
